edition,edition_id,year,country,country_noc,gold,silver,bronze,total,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1968 Summer Olympics,17,1968,Kenya,KEN,3,4,2,9,630.0,580370.0,,16.75356063534455,2.5632037875882787,80025000.0,1.0046211546813324,155119937.952025,7746999600.0,61.4541494252864,16.47161923712835,,,1.1883385652371148,1098439459.124217,7845999275.0,6.26583997340654,114.97544115796325,7616149475.0,115.0,,41.775,95.0,52.097,47.068494895996025,3.965505253661062,9535121.5,877286.5,9.193159926780588
1968 Summer Olympics,17,1968,Mexico,MEX,3,3,3,9,758.0,1964380.0,,22.5964196609995,3.2846696705447025,1572500.0,0.5975931975566757,1496156000.0,289155800.0,16.7513710792652,26.286382490633432,173144333.33333334,57.143044213677534,3.870439273282473,23200000000.0,290000000.0,7.739136236199594,526.815881416107,282751550.0,505.0,,45.150000000000006,91.80000000000001,56.9795,49.89369770068771,3.30074309664537,43926310.0,24337910.0,55.37149070126553
1968 Summer Olympics,17,1968,Yugoslavia,YUG,3,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Netherlands,NED,3,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Bulgaria,BUL,2,4,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Islamic Republic of Iran,IRI,2,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Sweden,SWE,2,1,1,4,624.0,447420.11,,19.069424733214078,4.773640272684823,4438750000.0,3.8120734021259923,4526481787.552916,139787350250.0,39.60160449801127,,,,5.487473277720118,26069758959.322098,134864341500.0,4.024726239854288,3353.252711357315,133156860130.98749,3222.5,,10.675,13.450000000000001,73.94896341463418,66.26149131529024,0.8519392975104098,7767733.75,6025916.25,77.56610726973526
1968 Summer Olympics,17,1968,Türkiye,TUR,2,0,0,2,593.0,785350.0,,42.590720541039175,7.030515165734788,3964.0,3.345109849678577,1330555555.555555,88475.0,9.68443629689454,19.320461304925523,36825.0,30.86195084856555,4.589443345016107,13222222222.222225,119000.0,6.056977905276955,402.19165062668253,140200.0,450.0,,58.325,155.375,54.3645,52.722051234161,2.567645609983485,32779096.25,8481551.5,25.85252089855895
1968 Summer Olympics,17,1968,Denmark,DEN,1,4,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Canada,CAN,1,3,1,5,537.0,15640500.0,,2.2157772104234077,2.9101033098353373,1784937500.0,2.940883171833728,9712874623.192934,62868750000.0,37.83140571815753,,,,3.995473657882332,57815603535.8868,62333712333.12398,5.699577740585802,2905.12311989063,61710163128.70819,2842.5,,,22.625000000000004,71.96518292682924,59.2878610030792,1.8395129540463302,19865750.0,14555334.5,73.25224011910393
