sport,year,n_nations,n_events,athletes_per_event,pct_team_events,hhi_gold,hhi_gold_athletes,n_nations_with_gold,mean_gold_per_athletes,hhi_total,hhi_total_athletes,n_nations_with_medal,mean_total_per_athletes
Canoe Sprint,2000,43,12,18.083333333333332,0.5833333333333334,0.23611111111111113,0.25884958677685943,5,0.28205128205128205,0.11111111111111113,0.09663557427502875,14,0.2836938854795998
Canoe Sprint,2004,44,12,17.5,0.5833333333333334,0.20833333333333334,0.16971103387520953,7,0.14551820728291315,0.09876543209876544,0.07700708024898464,17,0.24865929437728748
Canoe Sprint,2008,45,12,17.416666666666668,0.5833333333333334,0.125,0.13282462933885247,9,0.1442928349791095,0.0910493827160494,0.10001026513350855,16,0.29125545104405404
Canoe Sprint,2012,47,12,17.416666666666668,0.5,0.16666666666666669,0.19418872789212951,8,0.2257824283559578,0.09876543209876545,0.12042130975118943,15,0.37860536522301225
Canoe Sprint,2016,46,12,18.333333333333332,0.5,0.2222222222222222,0.18490498492114105,6,0.19109686609686613,0.08108108108108109,0.08708966636312229,18,0.27499491249491254
Canoe Sprint,2020,47,12,22.25,0.5,0.16666666666666669,0.24792880009286647,8,0.302219012605042,0.07253086419753087,0.07544921845482869,20,0.2806326924709278
Cycling BMX Freestyle,2020,11,2,9.0,0.0,0.5,0.5,2,0.5,0.22222222222222227,0.23555555555555557,5,0.75
Cycling BMX Racing,2008,21,2,24.0,0.0,0.5,0.5102040816326532,2,0.29166666666666663,0.3888888888888889,0.368421052631579,3,0.5277777777777778
Cycling BMX Racing,2012,22,2,24.0,0.0,0.5,0.5102040816326532,2,0.29166666666666663,0.22222222222222227,0.24932718185313338,5,0.33999999999999997
Cycling BMX Racing,2016,23,2,24.0,0.0,0.5,0.53125,2,0.26666666666666666,0.2777777777777778,0.28657885368458524,4,0.44166666666666665
Cycling BMX Racing,2020,21,2,24.0,0.0,0.5,0.625,2,0.3333333333333333,0.3333333333333333,0.38888888888888906,3,0.6666666666666666
Cycling Mountain Bike,1996,29,2,35.5,0.0,0.5,0.5102040816326532,2,0.29166666666666663,0.16666666666666669,0.1689750692520776,6,0.2638888888888889
Cycling Mountain Bike,2000,32,2,39.0,0.0,0.5,0.53125,2,0.26666666666666666,0.2222222222222222,0.21072334259147446,5,0.30333333333333334
Cycling Mountain Bike,2004,34,2,40.0,0.0,0.5,0.6800000000000002,2,0.625,0.16666666666666669,0.26386723100913345,6,0.37222222222222223
Cycling Mountain Bike,2008,36,2,40.0,0.0,0.5,0.5061728395061729,2,0.225,0.22222222222222227,0.22498868266183802,5,0.3133333333333333
Cycling Mountain Bike,2012,34,2,39.0,0.0,0.5,0.5061728395061729,2,0.225,0.16666666666666669,0.17333693888588425,6,0.2388888888888889
Cycling Mountain Bike,2016,37,2,37.0,0.0,0.5,0.7222222222222223,2,0.6,0.16666666666666669,0.24737350561526386,6,0.5055555555555555
Cycling Mountain Bike,2020,35,2,38.0,0.0,0.5,0.625,2,0.3333333333333333,0.5,0.35802469135802467,3,0.5
Cycling Road,1964,34,2,78.5,0.5,0.5,0.5041322314049586,2,0.18333333333333335,0.2222222222222222,0.21917575894623775,5,0.22166666666666668
Cycling Road,1968,40,2,79.5,0.5,0.5,0.5041322314049586,2,0.18333333333333335,0.2777777777777778,0.27335640138408307,4,0.2833333333333333
Cycling Road,1972,46,2,96.0,0.5,0.5,0.5041322314049586,2,0.18333333333333335,0.25,0.2553102873802583,4,0.20416666666666666
Cycling Road,1976,38,2,77.0,0.5,0.5,0.5,2,0.16666666666666666,0.2222222222222222,0.2425095390004378,5,0.20857142857142857
Cycling Road,1980,30,2,64.0,0.5,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.32362122788761716,4,0.2583333333333333
Cycling Road,1984,43,3,63.333333333333336,0.3333333333333333,0.5555555555555556,0.5847750865051904,2,0.14166666666666666,0.25925925925925924,0.24544271388302802,6,0.16052188552188554
Cycling Road,1988,46,3,65.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,2,0.1875,0.20987654320987653,0.20958361260312394,6,0.18816137566137567
