country_noc,sport,success_score_mean,total_golds,total_athletes,success_score_overall
BEL,Archery,0.0,0.0,20,0.0
BEL,Artistic Gymnastics,0.022727272727272728,1.0,23,0.043478260869565216
BEL,Artistic Swimming,0.0,0.0,3,0.0
BEL,Athletics,0.021689915023248355,5.0,224,0.022321428571428572
BEL,Badminton,0.0,0.0,7,0.0
BEL,Basketball,0.0,0.0,1,0.0
BEL,Beach Volleyball,0.0,0.0,1,0.0
BEL,Boxing,0.0,0.0,2,0.0
BEL,Canoe Slalom,0.0,0.0,3,0.0
BEL,Canoe Sprint,0.0,0.0,34,0.0
BEL,Cycling BMX Racing,0.0,0.0,3,0.0
BEL,Cycling Mountain Bike,0.0,0.0,16,0.0
BEL,Cycling Road,0.008333333333333333,1.0,86,0.011627906976744186
BEL,Cycling Track,0.04444444444444444,2.0,35,0.05714285714285714
BEL,Diving,0.0,0.0,3,0.0
BEL,Equestrian Dressage,0.0,0.0,7,0.0
BEL,Equestrian Eventing,0.0,0.0,22,0.0
BEL,Equestrian Jumping,0.0,0.0,34,0.0
BEL,Fencing,0.0,0.0,21,0.0
BEL,Football,0.0,0.0,1,0.0
BEL,Golf,0.0,0.0,6,0.0
BEL,Hockey,0.125,1.0,9,0.1111111111111111
BEL,Judo,0.0879120879120879,2.0,59,0.03389830508474576
BEL,Marathon Swimming,0.0,0.0,2,0.0
BEL,Rhythmic Gymnastics,0.0,0.0,4,0.0
BEL,Rowing,0.0,0.0,29,0.0
BEL,Sailing,0.0,0.0,34,0.0
BEL,Shooting,0.0,0.0,43,0.0
BEL,Skateboarding,0.0,0.0,2,0.0
BEL,Swimming,0.017857142857142856,1.0,86,0.011627906976744186
BEL,Table Tennis,0.0,0.0,10,0.0
BEL,Taekwondo,0.0,0.0,5,0.0
BEL,Tennis,0.041666666666666664,1.0,23,0.043478260869565216
BEL,Triathlon,0.0,0.0,15,0.0
BEL,Volleyball,0.0,0.0,1,0.0
BEL,Water Polo,0.0,0.0,1,0.0
BEL,Waterskiing,0.0,0.0,1,0.0
BEL,Weightlifting,0.0,0.0,15,0.0
BEL,Wrestling,0.0,0.0,15,0.0
BEN,Athletics,0.0,0.0,36,0.0
BEN,Boxing,0.0,0.0,13,0.0
BEN,Cycling Road,0.0,0.0,2,0.0
BEN,Fencing,0.0,0.0,1,0.0
BEN,Judo,0.0,0.0,4,0.0
BEN,Rowing,0.0,0.0,1,0.0
BEN,Swimming,0.0,0.0,9,0.0
BEN,Taekwondo,0.0,0.0,2,0.0
BEN,Tennis,0.0,0.0,1,0.0
BER,Athletics,0.0,0.0,35,0.0
BER,Boxing,0.0,0.0,4,0.0
BER,Cycling Road,0.0,0.0,4,0.0
BER,Diving,0.0,0.0,1,0.0
BER,Equestrian Dressage,0.0,0.0,2,0.0
BER,Equestrian Eventing,0.0,0.0,7,0.0
BER,Equestrian Jumping,0.0,0.0,2,0.0
BER,Rowing,0.0,0.0,3,0.0
BER,Sailing,0.0,0.0,26,0.0
BER,Swimming,0.0,0.0,13,0.0
BER,Tennis,0.0,0.0,1,0.0
BER,Triathlon,0.2,1.0,6,0.16666666666666666
BHU,Archery,0.0,0.0,26,0.0
BHU,Judo,0.0,0.0,1,0.0
BHU,Shooting,0.0,0.0,3,0.0
BHU,Swimming,0.0,0.0,1,0.0
BIH,Athletics,0.0,0.0,23,0.0
BIH,Canoe Slalom,0.0,0.0,2,0.0
BIH,Canoe Sprint,0.0,0.0,1,0.0
BIH,Judo,0.0,0.0,8,0.0
BIH,Shooting,0.0,0.0,9,0.0
BIH,Swimming,0.0,0.0,14,0.0
BIH,Table Tennis,0.0,0.0,2,0.0
BIH,Taekwondo,0.0,0.0,2,0.0
BIH,Tennis,0.0,0.0,3,0.0
BIH,Weightlifting,0.0,0.0,1,0.0
BIH,Wrestling,0.0,0.0,1,0.0
BIZ,Athletics,0.0,0.0,35,0.0
BIZ,Boxing,0.0,0.0,1,0.0
BIZ,Canoe Sprint,0.0,0.0,1,0.0
BIZ,Cycling Road,0.0,0.0,13,0.0
BIZ,Cycling Track,0.0,0.0,3,0.0
BIZ,Judo,0.0,0.0,2,0.0
BIZ,Shooting,0.0,0.0,5,0.0
BIZ,Taekwondo,0.0,0.0,1,0.0
BIZ,Weightlifting,0.0,0.0,1,0.0
BLR,Archery,0.0,0.0,13,0.0
BLR,Artistic Gymnastics,0.0,0.0,41,0.0
BLR,Artistic Swimming,0.0,0.0,5,0.0
BLR,Athletics,0.014065085493656922,3.0,243,0.012345679012345678
BLR,Badminton,0.0,0.0,4,0.0
BLR,Basketball,0.0,0.0,2,0.0
BLR,Boxing,0.0,0.0,26,0.0
BLR,Canoe Slalom,0.0,0.0,1,0.0
BLR,Canoe Sprint,0.07142857142857142,2.0,32,0.0625
BLR,Cycling Road,0.0,0.0,22,0.0
BLR,Cycling Track,0.0,0.0,11,0.0
BLR,Diving,0.0,0.0,18,0.0
BLR,Equestrian Dressage,0.0,0.0,2,0.0
BLR,Equestrian Eventing,0.0,0.0,5,0.0
BLR,Fencing,0.0,0.0,14,0.0
BLR,Football,0.0,0.0,1,0.0
BLR,Judo,0.02040816326530612,1.0,27,0.037037037037037035
BLR,Modern Pentathlon,0.0,0.0,17,0.0
BLR,Rhythmic Gymnastics,0.0,0.0,21,0.0
BLR,Rowing,0.10714285714285714,2.0,25,0.08
BLR,Sailing,0.0,0.0,17,0.0
BLR,Shooting,0.015873015873015872,1.0,55,0.01818181818181818
BLR,Swimming,0.0,0.0,50,0.0
BLR,Table Tennis,0.0,0.0,19,0.0
BLR,Taekwondo,0.0,0.0,1,0.0
BLR,Tennis,0.07142857142857142,1.0,17,0.058823529411764705
BLR,Trampolining,0.13888888888888887,2.0,14,0.14285714285714285
BLR,Weightlifting,0.014285714285714287,1.0,50,0.02
BLR,Wrestling,0.0,0.0,75,0.0
BOL,Artistic Gymnastics,0.0,0.0,1,0.0
BOL,Athletics,0.0,0.0,35,0.0
BOL,Boxing,0.0,0.0,1,0.0
BOL,Canoe Sprint,0.0,0.0,2,0.0
BOL,Cycling Road,0.0,0.0,3,0.0
BOL,Cycling Track,0.0,0.0,4,0.0
BOL,Diving,0.0,0.0,1,0.0
BOL,Equestrian Jumping,0.0,0.0,3,0.0
BOL,Fencing,0.0,0.0,3,0.0
BOL,Judo,0.0,0.0,6,0.0
BOL,Shooting,0.0,0.0,19,0.0
BOL,Swimming,0.0,0.0,17,0.0
BOL,Tennis,0.0,0.0,2,0.0
BOL,Weightlifting,0.0,0.0,3,0.0
BOL,Wrestling,0.0,0.0,1,0.0
