sport,n_nations_mean,n_nations_max,athletes_per_event,pct_team_events,hhi_gold_mean,hhi_gold_athletes_mean,mean_gold_per_athletes,n_nations_with_gold,hhi_total_mean,hhi_total_athletes_mean,n_nations_with_medal,mean_total_per_athletes,n_editions
Equestrian Eventing,18.8,29,32.96666666666667,0.5,0.7666666666666667,0.7669421487603306,0.31,1.4666666666666666,0.3290370370370371,0.33362316563133604,3.6,0.3911111111111111,15
Equestrian Jumping,23.2,35,35.2,0.5,0.7666666666666667,0.7666666666666667,0.2555555555555556,1.4666666666666666,0.2947037037037037,0.2969160997732426,3.933333333333333,0.33666666666666667,15
Fencing,37.8,46,29.554444444444446,0.47333333333333333,0.2527592592592593,0.2551889128584851,0.13054507966779455,5.2,0.17130555555555557,0.15920910350197034,9.066666666666666,0.21971185184441852,15
Football,17.6,23,13.733333333333333,1.0,0.7666666666666667,0.7735911288907353,0.04621386212226656,1.4666666666666666,0.2574074074074074,0.26046801136438147,4.333333333333333,0.048126703471300616,15
Golf,41.0,42,59.75,0.0,0.75,0.76,0.22916666666666666,1.5,0.19444444444444445,0.22585792480481126,5.5,0.3494047619047619,2
Handball,15.846153846153847,19,10.692307692307692,1.0,0.6538461538461539,0.6628553662684594,0.05628719283126959,1.6923076923076923,0.21794871794871795,0.21622868117695374,5.076923076923077,0.05831877537244612,13
Hockey,13.8,16,11.533333333333333,1.0,0.6333333333333333,0.6444444444444444,0.04027777777777777,1.7333333333333334,0.2555555555555556,0.25727954594020336,4.4,0.0466503506860834,15
Judo,67.92857142857143,105,24.620323129251698,0.0047619047619047615,0.26470136864269517,0.26689983346405277,0.28624295489091406,6.571428571428571,0.09435543792861459,0.08295571260554993,18.5,0.3650499556720851,14
Karate,35.0,35,9.875,0.0,0.125,0.18841879449067261,0.4614583333333333,8.0,0.0625,0.058882108195639785,20.0,0.6948214285714285,1
Kendo,2.0,2,12.25,0.0,,,,0.0,,,0.0,,1
Marathon Swimming,30.0,32,25.125,0.0,0.625,0.688888888888889,0.6979166666666666,1.75,0.22222222222222224,0.2326108349886704,5.25,0.5465277777777777,4
Modern Pentathlon,23.0,31,33.03333333333333,0.26666666666666666,0.7,0.7026666666666668,0.4444444444444444,1.6,0.27585185185185185,0.2863137114240099,4.333333333333333,0.47388888888888886,15
Rhythmic Gymnastics,21.4,24,24.5,0.35,0.9,0.9179999999999999,0.3241071428571428,1.2,0.3666666666666667,0.38199330074824106,3.4,0.3674404761904762,10
Roller Hockey,11.0,11,11.0,1.0,,,,0.0,,,0.0,,1
Rowing,44.0,74,13.795238095238094,0.8571428571428571,0.23197278911564626,0.2531706323870702,0.09893930485849475,7.6,0.11058201058201057,0.11086467480977152,15.666666666666666,0.13574215315604674,15
Rugby Sevens,15.0,16,12.0,1.0,0.5,0.5000961168781237,0.03884615384615385,2.0,0.22222222222222224,0.2189001450920504,5.0,0.06516025641025641,2
Sailing,51.733333333333334,68,24.588989898989897,0.6418686868686869,0.19954475647008116,0.20324344542797648,0.11478335677705426,6.266666666666667,0.10477980467771233,0.1058568135345492,14.133333333333333,0.1762690882742555,15
Shooting,71.6,95,41.80245630186807,0.013333333333333334,0.17783981120486222,0.18129349056592747,0.1573528810883787,7.8,0.10905182585710967,0.09782224624302742,16.866666666666667,0.256307451985465,15
Skateboarding,25.0,25,20.0,0.0,0.625,0.52,0.25,2.0,0.2777777777777778,0.24115208842597513,5.0,0.32333333333333336,1
Softball,7.6,8,7.6,1.0,1.0,1.0,0.06666666666666667,1.0,0.3333333333333333,0.3333333333333333,3.0,0.06666666666666667,5
Sport Climbing,19.0,19,20.0,0.0,0.5,0.5555555555555556,0.75,2.0,0.2222222222222222,0.2396694214876033,5.0,0.55,1
Surfing,18.0,18,20.0,0.0,0.5,0.5,0.25,2.0,0.2222222222222222,0.2839506172839506,5.0,0.45,1
Swimming,84.06666666666666,129,35.32602148330597,0.18335280732944803,0.3228744058902116,0.25887619157302066,0.1674825417496248,8.066666666666666,0.20336778917164766,0.13311648025692102,15.733333333333333,0.26081285051131536,15
Table Tennis,49.333333333333336,54,39.400000000000006,0.5111111111111111,0.8178395061728395,0.8088760285056877,0.42228835978835977,1.4444444444444444,0.3557344559092811,0.32392390893436196,4.666666666666667,0.394755291005291,9
Taekwondo,47.875,58,13.078125,0.0,0.20833333333333334,0.2116924838429927,0.4568452380952381,4.5,0.0691189236111111,0.06576970266186893,14.375,0.5694855299021965,8
Tennis,41.90909090909091,53,35.054545454545455,0.49090909090909096,0.377283950617284,0.41235727350381723,0.2784752284752285,2.727272727272727,0.14991770414930589,0.1753624494830122,7.090909090909091,0.3245416597836631,11
Trampolining,17.166666666666668,20,15.333333333333334,0.0,0.6666666666666666,0.6809599395313682,0.5138888888888888,1.6666666666666667,0.34259259259259256,0.3088532526191065,3.8333333333333335,0.611574074074074,6
Triathlon,36.333333333333336,42,50.52777777777778,0.05555555555555555,0.47222222222222227,0.5131186760334189,0.2569444444444444,2.1666666666666665,0.23868312757201648,0.2580089164290659,5.0,0.31583333333333335,6
Volleyball,15.066666666666666,19,10.5,1.0,0.5666666666666667,0.5851851851851853,0.05416666666666667,1.8666666666666667,0.23333333333333334,0.2307403208196859,4.8,0.06495370370370371,15
Water Polo,13.333333333333334,16,11.733333333333333,1.0,0.8,0.8185185185185185,0.0721056721056721,1.4,0.2814814814814815,0.28252294868564715,3.933333333333333,0.07398083398083398,15
Waterskiing,16.0,16,10.0,0.0,,,,0.0,,,0.0,,1
Weightlifting,56.6,77,18.212698412698412,0.0,0.2842674057277232,0.248391546158596,0.29972053203997645,6.133333333333334,0.12557227608312949,0.11078241164751784,14.8,0.40176504176305766,15
Wrestling,52.4,68,18.28935185185185,0.0,0.21130693703475717,0.17547100416996123,0.1773835353672815,8.6,0.097343809636155,0.07397084006731536,20.466666666666665,0.2851178000984361,15
Wushu,41.0,41,7.933333333333334,0.0,,,,0.0,,,0.0,,1
